"JobTitle","Sex","Race","JobType","StartYear"
"Auto Mechanic II","M","Black or African American","Permanent-Full Time",2014
"Planner, Principal","F","White","Permanent-Full Time",2008
"Aquatics Instructor","M","White","Permanent-Full Time",2008
"Accounting Technician II","F","Black or African American","Permanent-Full Time",2008
"Administrative Officer (DHS)","F","Black or African American","Permanent-Full Time",2008
"Budget and Finance Specialist","F","White","Permanent-Full Time",2008
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2008
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2008
"Landscape Architect II","M","White","Permanent-Full Time",2008
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",2008
"Auto Mechanic II","M","Black or African American","Permanent-Full Time",2008
"Planner, Associate","F","White","Permanent-Full Time",2008
"Cartographer I","M","White","Permanent-Full Time",2008
"Emergency Communications Technician III","M","White","Permanent-Full Time",2008
"Emergency Communications Technician III","F","Black or African American","Permanent-Full Time",2008
"Employment Services Specialist","M","Asian","Permanent-Full Time",2008
"Developmental Disability Specialist II","F","Black or African American","Permanent-Full Time",2008
"Human Services Specialist","F","White","Permanent-Full Time",2008
"Mental Health Therapist II (Licensed)","F","Asian","Permanent-Part Time",2008
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2008
"Planner, Principal","F","Asian","Permanent-Full Time",2008
"Developmental Disability Specialist II","M","White","Permanent-Full Time",2008
"School Crossing Guard I","M","White","Permanent-Part Time",2008
"WSS Technician III","M","Black or African American","Permanent-Full Time",2014
"Trades Worker III","M","Black or African American","Permanent-Full Time",2011
"WSS Technician III","M","Black or African American","Permanent-Full Time",2017
"Mental Health Therapist II (Licensed)","M","White","Permanent-Full Time",2008
"Traffic Engineering Manager","M","White","Permanent-Full Time",2008
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2008
"Clerk Of Circuit Court Chief Deputy","F","White","Permanent-Full Time",2008
"County Attorney IV","F","White","Permanent-Full Time",2009
"Management Specialist","M","White","Permanent-Full Time",2009
"Staff Management & Budget Specialist","M","White","Permanent-Full Time",2009
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2009
"Lead Gymnastics Instructor","F","White","Permanent-Full Time",2009
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",2009
"Sr IT Analyst","F","White","Permanent-Full Time",2009
"Human Services Clinician II","F","White","Permanent-Full Time",2009
"Police Officer","F","White","Permanent-Full Time",2016
"DPR Programmer II","F","White","Permanent-Full Time",2015
"Technology Manager II","M","Asian","Permanent-Full Time",2009
"Human Services Specialist","F","Hispanic or Latino","Permanent-Full Time",2009
"Natural Resources Specialist","M","White","Permanent-Full Time",2009
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2009
"Nurse Practitioner","F","White","Permanent-Full Time",2009
"Sr Staff Financial Analyst","M","White","Permanent-Full Time",2009
"Police Corporal","F","White","Permanent-Full Time",2009
"Police Corporal","F","Asian","Permanent-Full Time",2009
"Trades Manager/Leader I","M","White","Permanent-Full Time",2009
"Librarian","F","White","Permanent-Full Time",2009
"Business Systems Analyst II","F","White","Permanent-Full Time",2009
"Child and Family Services Bureau Chief","F","White","Permanent-Full Time",2009
"Staff Admin/Management Specialist","F","Black or African American","Permanent-Full Time",2009
"Staff Infrastructure Support Specialist","M","Black or African American","Permanent-Full Time",2009
"Business Tax Insp I","M","Hispanic or Latino","Permanent-Full Time",2009
"Clinical Psychologist Senior","F","Asian","Permanent-Full Time",2014
"Administrative Specialist","F","White","Limited Term Full Time",2009
"Human Services Clinician III","F","Black or African American","Permanent-Full Time",2009
"Motorized Vehicle Operator IV","M","Black or African American","Permanent-Full Time",2009
"Human Services Specialist","F","Hispanic or Latino","Permanent-Full Time",2009
"Park Ranger I","M","Hispanic or Latino","Permanent-Full Time",2009
"Engineering Bureau Chief","M","Asian","Permanent-Full Time",2009
"Real Estate Appraiser","F","White","Permanent-Full Time",2009
"Real Estate Appraiser","M","White","Permanent-Full Time",2009
"Emergency Communications Technician III","F","Black or African American","Permanent-Full Time",2009
"Deputy Sheriff","F","Black or African American","Permanent-Full Time",2009
"Treasury Specialist II","F","Hispanic or Latino","Permanent-Full Time",2009
"Clinic Aide I","F","White","Permanent-Part Time",2009
"Community Codes Inspector III","F","Hispanic or Latino","Permanent-Full Time",2009
"Aquatics Instructor","M","White","Permanent-Full Time",2009
"WSS Technician IV","M","Black or African American","Permanent-Full Time",2009
"Equipment Bureau Chief","M","White","Permanent-Full Time",2013
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2009
"Mental Health Therapist II","M","Black or African American","Permanent-Full Time",2009
"Emergency Communications Technician III","F","White","Permanent-Full Time",2009
"Emergency Communications Systems Spec","F","Hispanic or Latino","Permanent-Full Time",2009
"Librarian Supervisor","F","White","Permanent-Full Time",2009
"Auto Mechanic I","M","White","Permanent-Full Time",2009
"Custodial Worker II","M","Black or African American","Permanent-Full Time",2009
"WSS Technician V","F","Black or African American","Permanent-Full Time",2009
"School Crossing Guard I","M","Black or African American","Permanent-Part Time",2009
"Public Service Aide II","F","White","Permanent-Full Time",2009
"Business Systems Analyst II","M","White","Permanent-Full Time",2009
"Engineering Tech IV","M","Black or African American","Permanent-Full Time",2009
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",2009
"Wastewater Maintenance Technician","M","White","Permanent-Full Time",2009
"Psychiatric Nurse","F","Black or African American","Permanent-Full Time",2009
"Administrative Technician II","F","Hispanic or Latino","Permanent-Full Time",2009
"Assistant To DHS Director I","F","White","Permanent-Full Time",2009
"Management Analyst","F","White","Permanent-Full Time",2009
"Management & Budget Specialist","F","White","Permanent-Full Time",2009
"Librarian","F","White","Permanent-Full Time",2009
"Business Tax Insp I","F","Asian","Permanent-Full Time",2009
"Business Systems Analyst I","F","Hispanic or Latino","Permanent-Full Time",2009
"Employment Services Specialist","F","Hispanic or Latino","Permanent-Full Time",2009
"Eligibility Worker","F","Black or African American","Permanent-Full Time",2009
"Management Analyst","F","Black or African American","Permanent-Full Time",2009
"Aging & Disability Services Division Chief","F","Black or African American","Permanent-Full Time",2009
"Auto Mechanic I","M","Native Hawaiian or Other Pacific","Permanent-Full Time",2009
"Design Engineer","M","Black or African American","Permanent-Full Time",2009
"Environmental Management Specialist, Associate","F","White","Limited Term Full Time",2016
"Employment Services Specialist","M","Hispanic or Latino","Permanent-Full Time",2009
"Staff Infrastructure Support Specialist","M","White","Permanent-Full Time",2015
"AED Specialist V","M","White","Permanent-Full Time",2009
"DHS Administrative Program Manager","M","White","Permanent-Full Time",2009
"Equipment Mechanic II","M","White","Permanent-Full Time",2009
"Management Analyst","F","White","Permanent-Full Time",2009
"Mental Health Therapist III","F","White","Permanent-Full Time",2009
"Design Engineer Team Supervisor","F","White","Permanent-Full Time",2009
"Trades Manager/Leader II","M","White","Permanent-Full Time",2009
"Natural Resources Specialist","F","White","Permanent-Full Time",2009
"Deputy Sheriff Corporal","F","Black or African American","Permanent-Full Time",2009
"Environmental Management Specialist, Principal","F","White","Permanent-Full Time",2009
"Trades Manager/Leader I","M","Asian","Permanent-Full Time",2010
"Construction Plans Examiner I","M","Black or African American","Permanent-Full Time",2010
"DHS Administrative Program Manager","F","White","Permanent-Full Time",2010
"Fingerprint Specialist III","M","Black or African American","Permanent-Full Time",2010
"Administrative Specialist","F","White","Limited Term Full Time",2010
"Gymnastics Instructor","F","White","Permanent-Full Time",2010
"Child & Fam Services Division Chief","F","Black or African American","Permanent-Full Time",2010
"Public Service Aide II","F","Hispanic or Latino","Permanent-Full Time",2010
"Power and Control Technician","M","White","Permanent-Full Time",2010
"Psychiatrist","F","White","Permanent-Part Time",2010
"School Crossing Guard I","F","Asian","Permanent-Part Time",2010
"WSS Technician III","M","Black or African American","Permanent-Full Time",2012
"Capital Program Manager","M","Hispanic or Latino","Permanent-Full Time",2015
"Recreation Supervisor (Play School)","F","White","Permanent-Part Time",2010
"Human Services Clinician II","F","White","Permanent-Full Time",2010
"Staff Human Resources Manager","F","White","Permanent-Part Time",2010
"Deputy Sheriff Corporal","M","Hispanic or Latino","Permanent-Full Time",2010
"Eligibility Worker","F","Hispanic or Latino","Permanent-Full Time",2010
"Mental Health Therapist II (Licensed)","F","White","Permanent-Part Time",2010
"Planning Supervisor","M","White","Permanent-Full Time",2010
"Deputy Sheriff Corporal","M","White","Permanent-Full Time",2010
"Revenue Analyst","F","White","Permanent-Full Time",2016
"Mental Health Therapist II (Licensed)","F","Hispanic or Latino","Permanent-Full Time",2010
"Trades Worker III","M","Hispanic or Latino","Permanent-Full Time",2013
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT III","M","Black or African American","Permanent-Full Time",2010
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT III","M","Hispanic or Latino","Permanent-Full Time",2010
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2010
"Building Engineer I","F","White","Limited Term Full Time",2010
"Firefighter/EMT III","M","White","Permanent-Full Time",2010
"Firefighter/EMT III","F","White","Permanent-Full Time",2010
"Police Corporal","F","Hispanic or Latino","Permanent-Full Time",2010
"Police Officer","M","White","Permanent-Full Time",2010
"Firefighter/EMT II","M","White","Permanent-Full Time",2010
"Real Estate Appraiser","M","Asian","Permanent-Full Time",2016
"Gymnastics Instructor","M","White","Permanent-Full Time",2010
"Senior Trades Worker IV","M","Black or African American","Permanent-Full Time",2010
"Staff Human Resources Manager","F","White","Permanent-Full Time",2010
"Trades Manager/Leader II","M","Black or African American","Permanent-Full Time",2010
"Emergency Communications Assistant Supervisor","F","White","Permanent-Full Time",2010
"Human Services Clinical Supervisor","F","Black or African American","Permanent-Full Time",2010
"Eligibility Worker","F","Asian","Permanent-Full Time",2010
"Victim Specialist II","F","Black or African American","Permanent-Full Time",2010
"WSS Technician III","M","Black or African American","Permanent-Full Time",2010
"WSS Technician III","M","Black or African American","Permanent-Full Time",2010
"Inmate Services Counselor I","M","Black or African American","Permanent-Full Time",2010
"Carpenter II","M","White","Permanent-Full Time",2010
"Comm Supports & Coord Services Bureau Chief","F","Black or African American","Permanent-Full Time",2010
"Eligibility Worker","F","Black or African American","Permanent-Full Time",2010
"School Crossing Guard I","F","White","Permanent-Part Time",2010
"Administrative Specialist","F","Black or African American","Permanent-Full Time",2010
"Inmate Services Counselor I","M","Black or African American","Permanent-Full Time",2010
"WSS Technician II","M","Hispanic or Latino","Permanent-Full Time",2010
"Mental Health Supervisor","F","White","Permanent-Full Time",2010
"Probation Counselor II","F","Black or African American","Permanent-Full Time",2010
"DPR Program Manager","F","White","Permanent-Full Time",2010
"AED Specialist III","F","White","Permanent-Full Time",2010
"Court Assistant","M","Black or African American","Permanent-Part Time",2010
"DPR Programmer I","F","White","Permanent-Full Time",2010
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2010
"Deputy Sheriff Corporal","M","Black or African American","Permanent-Full Time",2010
"Building Maintenance Operations Supv","M","Hispanic or Latino","Permanent-Full Time",2010
"Administrative Assistant IV","F","White","Permanent-Full Time",2010
"AED Specialist III","M","Asian","Permanent-Full Time",2010
"Motorized Vehicle Operator IV","M","Black or African American","Permanent-Full Time",2010
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2010
"Human Services Specialist","F","Black or African American","Permanent-Full Time",2010
"Public Health Nurse","F","Hispanic or Latino","Permanent-Full Time",2010
"DPR Programmer I","F","Hispanic or Latino","Permanent-Part Time",2010
"Administrative Assistant V","F","Hispanic or Latino","Permanent-Full Time",2010
"Trades Worker III","M","Black or African American","Permanent-Full Time",2010
"Management & Budget Specialist","F","White","Permanent-Full Time",2010
"Nutritionist II","F","Hispanic or Latino","Permanent-Full Time",2010
"Administrative Technician II","F","White","Permanent-Full Time",2010
"Development Specialist, Associate","M","White","Permanent-Full Time",2010
"Trades Manager/Leader I","M","Hispanic or Latino","Permanent-Full Time",2010
"Trades Manager/Leader II","M","Black or African American","Permanent-Full Time",2010
"Deputy Sheriff","M","White","Permanent-Full Time",2010
"Probation Counselor II","M","Hispanic or Latino","Permanent-Full Time",2016
"Police Corporal","M","White","Permanent-Full Time",2010
"Mental Health Therapist II","M","White","Permanent-Full Time",2010
"County Attorney III","M","Black or African American","Permanent-Full Time",2010
"HVAC Mechanic II","M","Black or African American","Permanent-Full Time",2010
"Police Officer","M","White","Permanent-Full Time",2010
"Police Corporal","M","White","Permanent-Full Time",2010
"Staff Support Technician","F","White","Permanent-Full Time",2011
"Human Services Clinician III","F","Black or African American","Permanent-Full Time",2011
"Agency On Aging Program Coordinator","F","White","Permanent-Full Time",2011
"Human Services Clinician II","F","Hispanic or Latino","Permanent-Full Time",2011
"Water, Sewer and Streets Bureau Chief","M","Asian","Permanent-Full Time",2011
"Traffic Systems Analyst","M","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Public Service Aide II","M","White","Permanent-Full Time",2011
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2011
"Management Analyst","F","White","Permanent-Full Time",2011
"Management Specialist","F","White","Permanent-Full Time",2011
"Business Systems Analyst III","F","White","Permanent-Full Time",2011
"Engineering Tech IV","M","Black or African American","Permanent-Full Time",2011
"Park Naturalist","M","White","Permanent-Full Time",2011
"Senior Applications Developer","M","Asian","Permanent-Full Time",2011
"Mental Health Supervisor","F","Black or African American","Permanent-Full Time",2011
"Public Health Nurse","F","Black or African American","Permanent-Full Time",2011
"Planner, Principal","M","Black or African American","Permanent-Full Time",2011
"WSS Technician IV","M","Asian","Permanent-Full Time",2011
"WSS Technician II","M","Hispanic or Latino","Permanent-Full Time",2011
"Public Health Nurse","F","Native Hawaiian or Other Pacific","Permanent-Full Time",2011
"Aquatics Instructor","F","White","Permanent-Full Time",2011
"County Attorney (Treasurer)","M","White","Permanent-Full Time",2011
"Management Analyst","F","White","Permanent-Full Time",2011
"Management Analyst","F","White","Permanent-Full Time",2011
"Management Specialist","F","White","Permanent-Full Time",2011
"Management Analyst","M","Black or African American","Permanent-Full Time",2011
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",2011
"Tax Assessor (Call Center)","F","White","Permanent-Full Time",2011
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2011
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Project Management Coordinator","M","White","Permanent-Full Time",2014
"Employment Development Specialist","F","White","Permanent-Full Time",2011
"Public Health Bureau Chief","M","Hispanic or Latino","Permanent-Full Time",2011
"Management Specialist","F","Black or African American","Permanent-Full Time",2011
"Planner, Principal","F","White","Permanent-Full Time",2011
"Administrative Assistant V","M","Black or African American","Permanent-Full Time",2011
"Management Analyst","F","Black or African American","Permanent-Full Time",2011
"Eligibility Worker","F","Black or African American","Permanent-Full Time",2011
"Zoning Inspector II","M","White","Permanent-Full Time",2011
"Construction Codes Inspector III","M","White","Permanent-Full Time",2011
"Zoning Inspector II","F","Black or African American","Permanent-Full Time",2011
"Mental Health Therapist III","F","Hispanic or Latino","Permanent-Full Time",2011
"Sr WSS Technician II","M","Black or African American","Permanent-Full Time",2011
"Warehouse Coordinator","M","Black or African American","Permanent-Full Time",2011
"Trades Worker IV","M","Hispanic or Latino","Permanent-Full Time",2011
"WSS Technician IV","M","Black or African American","Permanent-Full Time",2011
"Public Health Nurse Supervisor","F","White","Permanent-Full Time",2011
"Mental Health Therapist III","F","Black or African American","Permanent-Full Time",2011
"Management Analyst","M","Hispanic or Latino","Permanent-Full Time",2011
"Management Specialist","F","Hispanic or Latino","Permanent-Full Time",2015
"Motorized Vehicle Operator III","M","Hispanic or Latino","Permanent-Full Time",2011
"Police Officer","M","White","Permanent-Full Time",2011
"Multi-Skilled Wastewater Plant Operator","M","Black or African American","Permanent-Full Time",2011
"Multi-Skilled Wastewater Plant Operator","M","White","Permanent-Full Time",2011
"DPR Programmer II","F","Asian","Permanent-Full Time",2011
"Human Services Clinician II","F","White","Permanent-Full Time",2011
"Emergency Communications Technician III","F","White","Permanent-Full Time",2011
"Public Health Nurse","F","Native Hawaiian or Other Pacific","Permanent-Full Time",2011
"Police Officer","M","White","Permanent-Full Time",2011
"Administrative Technician II","F","Hispanic or Latino","Permanent-Full Time",2011
"Sr WSS Technician II","M","White","Permanent-Full Time",2011
"Child Care Specialist","F","Hispanic or Latino","Permanent-Full Time",2017
"Clinic Aide I","F","Hispanic or Latino","Permanent-Full Time",2011
"Emergency Communications Technician III","F","Hispanic or Latino","Permanent-Full Time",2011
"Clinic Aide I","F","White","Permanent-Part Time",2011
"Management Analyst","F","White","Permanent-Full Time",2011
"Public Health Bureau Chief","F","Black or African American","Permanent-Full Time",2011
"Fire Inspector","M","White","Permanent-Full Time",2011
"Fire Inspector","M","Black or African American","Permanent-Full Time",2011
"Fire Inspector","M","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Design Engineer","F","White","Permanent-Full Time",2011
"Mental Health Therapist II (Licensed)","M","Black or African American","Permanent-Full Time",2011
"Police Officer","F","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Deputy Sheriff","F","White","Permanent-Full Time",2011
"Auto Mechanic II","M","Hispanic or Latino","Permanent-Full Time",2011
"Management Specialist","F","White","Permanent-Part Time",2011
"Police Corporal","M","Black or African American","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Human Resources/OD Specialist","F","White","Permanent-Full Time",2011
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",2011
"Emergency Management Specialist II","M","Asian","Limited Term Full Time",2017
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT II","M","Asian","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT III","F","White","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2011
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",2011
"Firefighter/EMT II","M","White","Permanent-Full Time",2011
"Tree Maintenance Worker","M","Hispanic or Latino","Permanent-Full Time",2011
"Mental Health Therapist II (Licensed)","M","White","Permanent-Full Time",2011
"Mental Health Therapist II (Licensed)","M","White","Permanent-Full Time",2011
"WSS Equipment Operator II","M","Black or African American","Permanent-Full Time",2011
"Human Services Clinician II","M","Hispanic or Latino","Permanent-Full Time",2011
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2011
"Deputy Sheriff","M","Black or African American","Permanent-Full Time",2011
"Management Analyst","M","Hispanic or Latino","Permanent-Full Time",2011
"Mental Health Therapist II","M","White","Permanent-Full Time",2011
"Permit Processing Specialist II","M","Black or African American","Permanent-Full Time",2011
"Librarian","F","White","Permanent-Full Time",2011
"Office Aide I","F","White","Permanent-Part Time",2011
"Construction Management Specialist","F","White","Permanent-Full Time",2011
"Wastewater Maintenance Technician","M","White","Permanent-Full Time",2011
"Public Health Nurse","F","White","Permanent-Part Time",2011
"Management & Budget Specialist","F","Hispanic or Latino","Permanent-Full Time",2011
"Senior Management Analyst","F","White","Permanent-Full Time",2011
"Administrative Technician I","F","Black or African American","Permanent-Full Time",2011
"Construction Management Supervisor","M","White","Permanent-Full Time",2011
"Management Analyst","F","White","Permanent-Full Time",2011
"Human Services Clinician II","F","Hispanic or Latino","Permanent-Full Time",2011
"WSS Technician IV","M","Hispanic or Latino","Permanent-Full Time",2011
"Sr Staff Admin/Management Specialist","F","White","Permanent-Full Time",2011
"Police Officer","M","White","Permanent-Full Time",2011
"Mental Health Therapist II","F","Black or African American","Permanent-Full Time",2011
"DHS Administrative Program Manager","F","White","Permanent-Full Time",2011
"Staff Human Resources/OD Specialist","F","White","Permanent-Full Time",2011
"Mental Health Therapist II (Licensed)","F","White","Permanent-Full Time",2011
"Planner, Associate","M","White","Permanent-Full Time",2011
"Design Engineer","M","White","Permanent-Full Time",2011
"School Crossing Guard I","M","White","Permanent-Part Time",2011
"Police Corporal","M","White","Permanent-Full Time",2011
"Deputy Sheriff","M","White","Permanent-Full Time",2011
"Administrative Officer (DHS)","M","White","Permanent-Full Time",2011
"Communications Specialist II","F","White","Permanent-Full Time",2013
"Communications Specialist II","M","White","Permanent-Full Time",2011
"Forestry Section Supervisor","M","White","Permanent-Full Time",2011
"Deputy Sheriff","M","White","Permanent-Full Time",2011
"Planner, Principal","M","White","Permanent-Full Time",2011
"Administrative Assistant V","F","Asian","Permanent-Full Time",2011
"Cultural Affairs Specialist III","F","White","Permanent-Part Time",2011
"Eligibility Worker","F","Black or African American","Permanent-Full Time",2011
"Police Officer","M","White","Permanent-Full Time",2011
"WSS Technician III","F","Black or African American","Permanent-Full Time",2014
"Senior Systems Administrator","M","Asian","Permanent-Full Time",2011
"Management Analyst","F","Hispanic or Latino","Permanent-Full Time",2011
"Planner, Principal","M","White","Permanent-Full Time",2011
"Landscape Architect II","M","White","Permanent-Full Time",2011
"Police Officer","F","White","Permanent-Full Time",2011
"Police Officer","M","White","Permanent-Full Time",2011
"Deputy Sheriff","M","Two or more Races","Permanent-Full Time",2011
"Developmental Disabilities Bureau Chief","F","Black or African American","Permanent-Full Time",2011
"Senior Trades Worker I","M","Hispanic or Latino","Permanent-Full Time",2015
"Delivery Driver","M","Asian","Permanent-Part Time",2011
"Construction Plan Review Supervisor","M","White","Permanent-Full Time",2011
"Auto Mechanic II","M","White","Permanent-Full Time",2011
"Human Services Specialist","F","White","Permanent-Part Time",2011
"Administrative Assistant V","F","Black or African American","Permanent-Full Time",2011
"Probation Counselor II","F","White","Permanent-Full Time",2016
"Building Engineer I","M","White","Permanent-Full Time",2011
"Accounting Technician I","F","Black or African American","Permanent-Full Time",2011
"Police Officer","F","White","Permanent-Full Time",2011
"Staff Accounting/Auditing Specialist","F","Black or African American","Permanent-Full Time",2011
"Library Assistant Supervisor","F","White","Permanent-Full Time",2011
"Infant & Child Development Supervisor","F","White","Permanent-Full Time",2011
"AED Specialist III","F","White","Permanent-Full Time",2011
"Developmental Disability Specialist II","M","White","Permanent-Part Time",2011
"Firefighter/EMT III","M","White","Permanent-Full Time",2012
"Firefighter/EMT II","M","Hispanic or Latino","Permanent-Full Time",2012
"Firefighter/EMT II","M","White","Permanent-Full Time",2016
"Firefighter/EMT III","M","White","Permanent-Full Time",2012
"Firefighter/EMT II","M","Black or African American","Permanent-Full Time",2012
"Firefighter/EMT III","M","White","Permanent-Full Time",2012
"Environmental Management Specialist, Associate","M","White","Permanent-Full Time",2012
"Library Associate","F","White","Permanent-Full Time",2012
"Administrative Technician II","F","Black or African American","Permanent-Full Time",2016
"Staff Accounting/Auditing Specialist","F","Hispanic or Latino","Permanent-Full Time",2012
"Staff Human Resources/OD Specialist","F","White","Permanent-Full Time",2012
"Construction Management Specialist","M","Black or African American","Permanent-Full Time",2012
"Engineering Program Coordinator","M","Asian","Permanent-Full Time",2012
"Police Officer","M","White","Permanent-Full Time",2012
"Nutrition Assistant","F","White","Permanent-Full Time",2012
"Records Assistant III","M","White","Permanent-Part Time",2012
"Pretreatment Program Coordinator","M","White","Permanent-Full Time",2012
"Emergency Management Specialist II","F","White","Permanent-Full Time",2012
"Assistant Purchasing Agent","F","White","Permanent-Full Time",2012
"Physician","M","White","Permanent-Full Time",2012
"Communications Specialist II","F","Asian","Permanent-Full Time",2012
"Construction Management Specialist","F","Black or African American","Permanent-Full Time",2012
"Court Assistant","F","Hispanic or Latino","Permanent-Full Time",2012
"Commonwealth Atty III","M","White","Permanent-Full Time",2012
"DPR Programmer I","F","White","Permanent-Part Time",2012
"Senior Trades Worker II","M","Black or African American","Permanent-Full Time",2012
"Tree Maintenance Worker","M","Hispanic or Latino","Permanent-Full Time",2012
"Eligibility Worker","F","Black or African American","Permanent-Full Time",2012
"Juvenile Program Coordinator","F","Hispanic or Latino","Permanent-Full Time",2012
"Librarian Supervisor","F","White","Permanent-Full Time",2012
"Tax Auditor III","M","Hispanic or Latino","Permanent-Full Time",2012
"Administrative Specialist","F","White","Permanent-Full Time",2012
"Human Services Clinician II","F","Black or African American","Permanent-Full Time",2012
"Construction Plans Examiner I","M","White","Permanent-Full Time",2016
"Court Assistant","F","Hispanic or Latino","Permanent-Full Time",2012
"WSS Equipment Operator I","M","White","Permanent-Full Time",2012
"Project Management Coordinator","M","White","Permanent-Full Time",2012
"WSS Technician IV","M","Black or African American","Permanent-Full Time",2013
"Planner, Principal","M","White","Permanent-Full Time",2012
"Communications Specialist II","M","White","Permanent-Full Time",2012
"Administrative Assistant V","F","Hispanic or Latino","Permanent-Full Time",2012
"Wastewater Maintenance Technician","M","White","Permanent-Full Time",2012
"Wastewater Maintenance Technician","M","White","Permanent-Full Time",2012
"Sr WSS Technician","M","Black or African American","Permanent-Full Time",2012
"Plant Planning Specialist","M","White","Permanent-Full Time",2012
"Park Ranger II","M","White","Permanent-Full Time",2012
"Police Corporal","M","Black or African American","Permanent-Full Time",2012
"Police Officer","F","Black or African American","Permanent-Full Time",2012
"Decision Support Chief","M","White","Permanent-Full Time",2012
"Mental Health Therapist II (Licensed)","F","Hispanic or Latino","Permanent-Full Time",2017
"Real Estate Assessment Director","M","White","Permanent-Full Time",2012
"Trades Manager/Leader I","M","Black or African American","Permanent-Full Time",2012
"Business Systems Analyst III","F","White","Permanent-Full Time",2012
"Safety Program Coordinator","M","White","Permanent-Full Time",2012
"Multi-Skilled Wastewater Plant Operator","F","Black or African American","Permanent-Full Time",2012
"Real Estate Appraiser","M","White","Permanent-Full Time",2012
"Deputy Sheriff","M","Hispanic or Latino","Permanent-Full Time",2012
"Deputy Sheriff","M","White","Permanent-Full Time",2012
"Inmate Services Counselor I","F","Asian","Permanent-Full Time",2012
"Business Tax Insp I","F","White","Permanent-Full Time",2012
"Police Officer","M","Black or African American","Permanent-Full Time",2012
"Police Corporal","M","White","Permanent-Full Time",2012
"Police Corporal","M","White","Permanent-Full Time",2012
"Gardener","M","Hispanic or Latino","Permanent-Full Time",2017
"Facilities Project Specialist","F","White","Overstrength Full Time",2012
"Police Corporal","M","Black or African American","Permanent-Full Time",2012
"Police Corporal","M","White","Permanent-Full Time",2012
"Police Corporal","M","White","Permanent-Full Time",2012
"Administrative Technician II","F","White","Permanent-Full Time",2012
"Budget Coordinator","F","White","Permanent-Full Time",2012
"Dental Assistant","F","Hispanic or Latino","Permanent-Full Time",2012
"Public Health Nurse","F","Black or African American","Permanent-Full Time",2012
"Zoning Division Chief","F","Black or African American","Permanent-Full Time",2012
"Real Estate Appraiser","M","White","Permanent-Full Time",2012
"WSS Technician IV","M","Hispanic or Latino","Permanent-Full Time",2012
"Design Engineer","M","White","Permanent-Full Time",2012
"Senior Trades Worker IV","M","White","Permanent-Full Time",2012
"Library Assistant II","M","White","Permanent-Full Time",2012
"Librarian","F","White","Permanent-Full Time",2012
"Office Aide I","F","Asian","Permanent-Part Time",2012
"Police Officer","M","White","Permanent-Full Time",2012
"Management & Budget Specialist","F","Black or African American","Permanent-Full Time",2012
"Court Specialist I","F","Black or African American","Permanent-Full Time",2015
"Records Assistant IV","F","Black or African American","Permanent-Full Time",2012
"Mental Health Therapist III","M","White","Permanent-Full Time",2012
